poem_name, poem_content ,poet_name ,category
I Wandered Lonely As A Cloud (Daffodils) ,I wandered lonely as a cloud|That floats on high o'er vales and hills||When all at once I saw a crowd||A host| of golden daffodils;|Beside the lake| beneath the trees||Fluttering and dancing in the breeze.|Continuous as the stars that shine|And twinkle on the milky way||They stretched in never-ending line|Along the margin of a bay:|Ten thousand saw I at a glance||Tossing their heads in sprightly dance.|The waves beside them danced; but they|Out-did the sparkling waves in glee:|A poet could not but be gay||In such a jocund company:|I gazed- and gazed- but little thought|What wealth the show to me had brought:|For oft| when on my couch I lie|In vacant or in pensive mood||They flash upon that inward eye|Which is the bliss of solitude;|And then my heart with pleasure fills||And dances with the daffodils.,Wordsworth William,lonely
Lonely Am I ,Lonely are the nights|Lonely are the days|Lonely am I| in so many ways|Lonely are the seasons|Lonely are the years|So lonely am I| that it brings tears.|Lonely is this place|Lonely is my life|Lonely am I| that I reach for a knife|Lonely is this court room|Lonely is my sentence|So lonely am I that I ask for repentance.,foulk jim,lonely
A Thought For A Lonely Death,IF God compel thee to this destiny||To die alone| with none beside thy bed|To ruffle round with sobs thy last word said|And mark with tears the pulses ebb from thee|--|Pray then alone| ' O Christ| come tenderly !|By thy forsaken Sonship in the red|Drear wine-press|--by the wilderness out-spread|--|And the lone garden where thine agony|Fell bloody from thy brow|--by all of those|Permitted desolations| comfort mine !|No earthly friend being near me| interpose|No deathly angel 'twixt my face aud thine||But stoop Thyself to gather my life's rose||And smile away my mortal to Divine ! ',Browning Barrett,lonely
Lonely Is Just One Word ,Lonely is just one word chosen to represent so much|To tell of feelings inside that the senses cannot touch|Lonely can be in the teardrops on a bereaved person’s cheek|Lonely can be in the silence of sorrows too deep to speak|Lonely can haunt a deserted room that Laughter once made proud|Lonely surrounds you when you’re alone or finds you in a crowd|Lonely is heard in echoed footsteps of a departing friend|Lonely penetrates the solitude of nights that will not end|Lonely will not listen to the pleadings of a broken heart|Lonely stays and torments until new Love shatters it apart,Havran Mary,lonely
The Lonely Soul ,The lonely soul wanders|Alone in the walks of life|No other soul as his companion|The lonely soul wanders|Alone in the daybreak|He does his duties|In the walks of life|The lonely soul wanders|Alone in the life|He meets many other souls|Who comes to be|Unfit for the lonely soul|The lonely soul wanders|As the days pass by|The lonely soul became|More lonely| with no other|souls as his companion|The lonely soul wanders|Alone in the walks of life|The lonely soul decides|Not to die| but to face|Life in all its hardships|The lonely soul wanders,thermadam anto,lonely
The Stars Go Over The Lonely Ocean ,Unhappy about some far off things|That are not my affair| wandering|Along the coast and up the lean ridges||I saw in the evening|The stars go over the lonely ocean||And a black-maned wild boar|Plowing with his snout on Mal Paso Mountain.|The old monster snuffled| "Here are sweet roots||Fat grubs| slick beetles and sprouted acorns.|The best nation in Europe has fallen||And that is Finland||But the stars go over the lonely ocean|"|The old black-bristled boar||Tearing the sod on Mal Paso Mountain.|"The world's in a bad way| my man||And bound to be worse before it mends;|Better lie up in the mountain here|Four or five centuries||While the stars go over the lonely ocean|"|Said the old father of wild pigs||Plowing the fallow on Mal Paso Mountain.|"Keep clear of the dupes that talk democracy|And the dogs that talk revolution||Drunk with talk| liars and believers.|I believe in my tusks.|Long live freedom and damn the ideologies|"|Said the gamey black-maned boar|Tusking the turf on Mal Paso Mountain.|Submitted by Holt,Jeffers Robinson,lonely
The Lonely Street ,School is over. It is too hot|to walk at ease. At ease|in light frocks they walk the streets|to while the time away.|They have grown tall. They hold|pink flames in their right hands.|In white from head to foot||with sidelong| idle look--|in yellow| floating stuff||black sash and stockings--|touching their avid mouths|with pink sugar on a stick--|like a carnation each holds in her hand--|they mount the lonely street.,Williams Carlos,lonely
Lover's Gifts Lvi: The Evening Was Lonely ,The evening was lonely for me| and I was reading a book till my|heart became dry| and it seemed to me that beauty was a thing|fashioned by the traders in words. Tired I shut the book and|snuffed the candle. In a moment the room was flooded with|moonlight.|Spirit of Beauty| how could you| whose radiance overbrims the|sky| stand hidden behind a candle's tiny flame? How could a few|vain words from a book rise like a mist| and veil her whose voice|has hushed the heart of earth into ineffable calm?,Tagore Rabindranath,lonely
Speak Of The North! A Lonely Moor ,Speak of the North! A lonely moor|Silent and dark and tractless swells||The waves of some wild streamlet pour|Hurriedly through its ferny dells.|Profoundly still the twilight air||Lifeless the landscape; so we deem|Till like a phantom gliding near|A stag bends down to drink the stream.|And far away a mountain zone||A cold| white waste of snow-drifts lies||And one star| large and soft and lone||Silently lights the unclouded skies.,Brontë Charlotte,lonely
You Wander As A Lonely ,Each day you wake up with a frown|Rumours keep spreading around town|That you’re suffering a mental breakdown|A solitary walk you walk|A lonely talk you talk|As you wander as a lonely|You wander as a lonely at night|You wander as a lonely on sight|You wander as a lonely at day|You wander as a lonely and pray|You wander as a lonely each day|Slow down| slow down|Shut down| shut down|Shutdown the lonely before you drown|Embrace your friends with warmth|They can give you assistance|Deliver you from your lonely existence|You keep fighting love|Bending it around like a curve|With your glowering face|Reserving only a lonely place||Halting happiness to arrive in your life|Do you ever stop to wonder?|Do you ever stop to ponder?|Are you the reason for the lonely blunders?|Slow down| slow down|Shut down| shut down|Remove from your head that lonely crown|You wander endlessly as a lonely|Searching for a spot called homely|But your face is missing that vital smile called lovely|Copyright 2006 - Sylvia Chidi|www.sylviachidi.com|Check out my latest 'Justice & If I were a girl',Chidi Sylvia,lonely
