,Title,Poem,Poet,Tags
1,"
                    pronoun circle-jerk and the dog charlie
                ","
i had scarcely got acquainted
when they took me by the paw & made me even-minded
nor did i mind
i had exactly enough window
i had exactly enough to get started
wine makes a person weak
that is not to say that wine is not delightful, only
that it makes a person weak
a person can be made weak with whiskey
and this was the mexicans’ military tactic
with the chiricahua apache
and the dutch with the lenape down in manahatta
there was a dog named charlie
cally called it an ‘it’
when we had our pronoun circle-jerk
i told the group they could call me ‘it’
you know like the sky and the grass and
a bird where you can’t tell what it is
it, its, itself
but then i sort of chickened out and said
if ‘it’ ‘made them feel weird’ as a pronoun for a human
they could call me ‘they’
or any gender-neutral pronoun i said
xe or zae or e or shim-sham or
two head-cocks and a click i joked
looking at charlie’s belly as charlie
rolled on its back
 
",Julian Talamantez Brolaski,"Activities,Eating & Drinking,Relationships,Pets,Arts & Sciences,Language & Linguistics,Social Commentaries,Gender & Sexuality"
2,"
                    Seventeen Funerals
                ","
Seventeen suns rising in seventeen bedroom windows. Thirty-four eyes blooming open with the light of one more morning. Seventeen reflections in the bathroom mirror. Seventeen backpacks or briefcases stuffed with textbooks or lesson plans. Seventeen good mornings at kitchen breakfasts and seventeen goodbyes at front doors. Seventeen drives through palm-lined streets and miles of crammed highways to Marjory Stoneman Douglas High School at 5901 Pine Island Road. The first bell ringing-in one last school day on February fourteenth, 2018. Seventeen echoes of footsteps down hallways for five class periods: algebra, poetry, biology, art, history. Seventeen hands writing on whiteboards or taking notes at their desks until the first gunshot at 2:21pm. One AR-15 rifle in the hands of a nineteen year old mind turning hate for himself into hate for others, into one-hundred fifty bullets fired in six minutes through building number twelve. Seventeen dead carried down hallways they walked, past cases of trophies they won, flyers for clubs they belonged to, lockers they won’t open again. Seventeen Valentine’s Day dates broken and cards unopened. Seventeen bodies to identify, dozens of photo albums to page through and remember their lives. Seventeen caskets and burial garments to choose for them. Seventeen funerals to attend in twelve days. Seventeen graves dug and headstones placed—all marked with the same date of death. Seventeen names: Alyssa. Helena. Scott. Martin—seventeen absentees forever—Nicholas. Aaron. Jamie. Luke—seventeen closets to clear out—Christopher. Cara. Gina. Joaquin—seventeen empty beds—Alaina. Meadow. Alex. Carmen. Peter—seventeen reasons to rebel with the hope these will be the last seventeen to be taken by one of three-hundred-ninety-three-million guns in America.
",Richard Blanco,"Living,Death,Sorrow & Grieving,Youth,Social Commentaries,Crime & Punishment"
3,"
                    Spring and All: Chapter XIII [Thus, weary of life]
                ","
       Thus, weary of life, in view of the great consummation which awaits us — tomorrow, we rush among our friends congratulating ourselves upon the joy soon to be. Thoughtless of evil we crush out the marrow of those about us with our heavy cars as we go happily from place to place. It seems that there is not time enough in which to speak the full of our exaltation. Only a day is left, one miserable day, before the world comes into its own. Let us hurry ! Why bother for this man or that ? In the offices of the great newspapers a mad joy reigns as they prepare the final extras. Rushing about, men bump each other into the whirring presses. How funny it seems. All thought of misery has left us. Why should we care ? Children laughingly fling themselves under the wheels of the street cars, airplanes crash gaily to the earth. Someone has written a poem.
 
       Oh life, bizarre fowl, what color are your wings ? Green, blue, red, yellow, purple, white, brown, orange, black, grey ? In the imagination, flying above the wreck of ten thousand million souls, I see you departing sadly for the land of plants and insects, already far out to sea. (Thank you, I know well what I am plagiarising) Your great wings flap as you disappear in the distance over the pre-Columbian acres of floating weed.
 
       The new cathedral overlooking the park, looked down from its towers today, with great eyes, and saw by the decorative lake a group of people staring curiously at the corpse of a suicide : Peaceful, dead young man, the money they have put into the stones has been spent to teach men of life’s austerity. You died and teach us the same lesson. You seem a cathedral, celebrant of the spring which shivers for me among the long black trees.
",William Carlos Williams,"Living,Death,Time & Brevity,Social Commentaries,Cities & Urban Life"
4,"
                    Spring and All: III [The farmer in deep thought]
                ","
The farmer in deep thought
is pacing through the rain
among his blank fields, with
hands in pockets,
in his head
the harvest already planted.
A cold wind ruffles the water
among the browned weeds.
On all sides
the world rolls coldly away :
black orchards
darkened by the March clouds —
leaving room for thought.
Down past the brushwood
bristling by
the rainsluiced wagonroad
looms the artist figure of
the farmer — composing
— antagonist.
 
",William Carlos Williams,"Activities,Jobs & Working,Nature,Landscapes & Pastorals,Spring,Arts & Sciences"
5,"
                    Spring and All: XI [In passing with my mind]
                ","
In passing with my mind
on nothing in the world
 
but the right of way
I enjoy on the road by
 
virtue of the law        —
I saw
 
an elderly man who
smiled and looked away
 
to the north past a house —
a woman in blue
 
who was laughing and
leaning forward to look up
 
into the man’s half
averted face
 
and a boy of eight who was
looking at the middle of
 
the man’s belly
at a watchchain —
 
The supreme importance
of this nameless spectacle
 
sped me by them
without a word —
 
Why bother where I went ?
for I went spinning on the
 
four wheels of my car
along the wet road until
 
I saw a girl with one leg
over the rail of a balcony
",William Carlos Williams,"Living,The Mind,Activities,Travels & Journeys"
6,"
                    Spring and All: XIV [Of death]
                ","
Of death
the barber
the barber
talked to me
 
cutting my
life with
sleep to trim
my hair —
 
It’s just
a moment
he said, we die
every night —
 
And of
the newest
ways to grow
hair on
 
bald death –
I told him
of the quartz
lamp
 
and of old men
with third
sets of teeth
to the cue
 
of an old man
who said
at the door —
Sunshine today!
 
for which
death shaves
him twice
a week
 
",William Carlos Williams,"Living,Death,Time & Brevity"
7,"
                    Spring and All: XIX [This is the time of year]
                ","
This is the time of year
when boys fifteen and seventeen
wear two horned lilac blossoms
in their caps — or over one ear
 
What is it that does this ?
 
It is a certain sort —
drivers for grocers or taxidrivers
white and colored —
 
fellows that let their hair grow long
in a curve over one eye — 
 
Horned purple
 
Dirty satyrs, it is
vulgarity raised to the last power
 
They have stolen them
broken the bushes apart
with a curse for the owner — 
 
Lilacs — 
 
They stand in the doorways
on the business streets with a sneer
on their faces
 
adorned with blossoms
 
Out of their sweet heads
dark kisses — rough faces
",William Carlos Williams,"Living,Youth,Nature,Spring,Trees & Flowers"
8,"
                    Spring and All: XXV [Somebody dies every four minutes]
                ","
Somebody dies every four minutes
in New York State — 
 
To hell with you and your poetry — 
You will rot and be blown
through the next solar system
with the rest of the gases — 
 
What the hell do you know about it ?
 
AXIOMS
 
Do not get killed
 
Careful Crossing Campaign
Cross Crossings Cautiously
 
THE HORSES      black
                                 &
PRANCED             white
 
What’s the use of sweating over
this sort of thing, Carl ; here
it is all set up — 
 
Outings in New York City
 
Ho for the open country
 
Dont’t stay shut up in hot rooms
Go to one of the Great Parks
Pelham Bay for example
 
It’s on Long Island sound
with bathing, boating
tennis, baseball, golf, etc.
 
Acres and acres of green grass
wonderful shade trees, rippling brooks
 
               Take the Pelham Bay Park Branch
               of the Lexington Ave. (East Side)
               Line and you are there in a few
               minutes
 
Interborough Rapid Transit Co.
 
",William Carlos Williams,"Living,Death,Activities,Travels & Journeys,Arts & Sciences,Poetry & Poets,Social Commentaries,Cities & Urban Life"
9,"
                    Pomegranate
                ","
You tell me I am wrong.
Who are you, who is anybody to tell me I am wrong?
I am not wrong.
 
In Syracuse, rock left bare by the viciousness of Greek women,
No doubt you have forgotten the pomegranate trees in flower,
Oh so red, and such a lot of them.
 
Whereas at Venice,
Abhorrent, green, slippery city
Whose Doges were old, and had ancient eyes,
In the dense foliage of the inner garden
Pomegranates like bright green stone,
And barbed, barbed with a crown.
Oh, crown of spiked green metal
Actually growing!
 
Now, in Tuscany,
Pomegranates to warm your hands at;
And crowns, kingly, generous, tilting crowns
Over the left eyebrow.
 
And, if you dare, the fissure!
 
Do you mean to tell me you will see no fissure?
Do you prefer to look on the plain side?
 
For all that, the setting suns are open.
The end cracks open with the beginning:
Rosy, tender, glittering within the fissure.
 
Do you mean to tell me there should be no fissure?
No glittering, compact drops of dawn?
Do you mean it is wrong, the gold-filmed skin, integument,
            shown ruptured?
 
For my part, I prefer my heart to be broken.
It is so lovely, dawn-kaleidoscopic within the crack.
 
                                                                          San Gervasio in Tuscany
 
",D. H. Lawrence,"Love,Heartache & Loss,Nature"
10,"
                    Peach
                ","
Would you like to throw a stone at me?
Here, take all that’s left of my peach.
 
Blood-red, deep:
Heaven knows how it came to pass.
Somebody’s pound of flesh rendered up.
 
Wrinkled with secrets
And hard with the intention to keep them.
 
Why, from silvery peach-bloom,
From that shallow-silvery wine-glass on a short stem
This rolling, dropping, heavy globule?
 
I am thinking, of course, of the peach before I ate it.
 
Why so velvety, why so voluptuous heavy?
Why hanging with such inordinate weight?
Why so indented?
 
Why the groove?
Why the lovely, bivalve roundnesses?
Why the ripple down the sphere?
Why the suggestion of incision?
 
Why was not my peach round and finished like a billiard ball?
It would have been if man had made it.
Though I’ve eaten it now.
 
But it wasn’t round and finished like a billiard ball;
And because I say so, you would like to throw something at me.
 
Here, you can have my peach stone.
                                                                                 San Gervasio
 
",D. H. Lawrence,"Activities,Eating & Drinking,Nature"
